"September quarter key figures, percentage changes (a)"
,,"Jun 24 to Sep 24","Sep 24 to Dec 24","Dec 24 to Mar 25","Mar 25 to Jun 25","Jun 25 to Sep 25","Through the year, Sep 24 to Sep 25"
"Chain volume measures (b)",,,,,,,
,"GDP","0.3","0.5","0.4","0.7","0.4","2.1"
,"GDP per capita (c)","-0.1","0.2","-","0.3","-","0.4"
,"Gross value added market sector (d)","-0.1","0.5","0.3","0.9","0.2","1.9"
,"Real net national disposable income","0.4","0.2","0.6","0.7","0.4","2.1"
"Productivity",,,,,,,
,"GDP per hour worked","-0.5","0.1","0.2","0.4","0.2","0.8"
,"Real unit labour costs","0.7","0.7","-0.1","0.9","-0.1","1.5"
"Prices",,,,,,,
,"GDP implicit price deflator","-","1.0","0.9","-","1.3","3.2"
,"Terms of trade","-2.6","1.1","-0.7","-0.9","0.3","-0.2"
"Current price measures",,,,,,,
,"GDP","0.3","1.6","1.3","0.7","1.7","5.4"
,"Household saving ratio","5.0","5.6","7.1","6.0","6.4","na"

"- nil or rounded to zero"
"na not available"
"a. Change on preceding quarter; last column shows the change between the current quarter and the corresponding quarter of the previous year."
"b. Reference year for chain volume measures and real income measures is 2023-24."
"c. Population estimates are as published in National, state and territory population and ABS projections."
"d. ANZSIC divisions A to N, R and S. See Glossary - Market sector."

"Source: Australian Bureau of Statistics, Australian National Accounts: National Income, Expenditure and Product September 2025"